state,latitude,longitude
Arizona,33.3546,-114.6973
Arizona,33.4051,-114.7258
Arizona,33.412,-114.6533
Arizona,33.5016,-114.5888
Arizona,33.5317,-114.5599
Arizona,33.6306,-114.5187
Arizona,33.6786,-114.5297
Arizona,33.7083,-114.494
Arizona,33.7609,-114.5036
Arizona,33.8157,-114.5284
Arizona,33.8545,-114.5325
Arizona,33.9285,-114.538
Arizona,33.953,-114.5235
Arizona,34.0049,-114.4748
Arizona,34.0299,-114.4308
Arizona,34.0891,-114.4363
Arizona,34.1357,-114.3526
Arizona,34.172,-114.2908
Arizona,34.2044,-114.2255
Arizona,34.2595,-114.1685
Arizona,34.2572,-114.1301
Arizona,34.3037,-114.1397
Arizona,34.3664,-114.2276
Arizona,34.4012,-114.2633
Arizona,34.4534,-114.3388
Arizona,34.493,-114.3608
Arizona,34.5292,-114.3811
Arizona,34.5959,-114.4377
Arizona,34.6547,-114.4569
Arizona,34.7506,-114.5297
Arizona,34.8172,-114.5847
Arizona,34.8724,-114.6341
Arizona,34.949,-114.6313
Arizona,35.0342,-114.6351
Arizona,35.1019,-114.6451
Arizona,35.1233,-114.619
Arizona,35.1716,-114.5682
Arizona,35.3364,-114.5984
Arizona,35.4506,-114.6643
Arizona,35.578,-114.6753
Arizona,35.6171,-114.6547
Arizona,35.6528,-114.6918
Arizona,35.7053,-114.7028
Arizona,35.805,-114.7093
Arizona,35.8679,-114.6602
Arizona,35.9836,-114.7426
Arizona,36.0891,-114.7536
Arizona,36.1124,-114.6794
Arizona,36.1423,-114.6327
Arizona,36.1301,-114.4872
Arizona,36.1445,-114.369
Arizona,36.0746,-114.3038
Arizona,36.0602,-114.3172
Arizona,36.0163,-114.2451
Arizona,36.0402,-114.1438
Arizona,36.0979,-114.115
Arizona,36.1101,-114.1274
Arizona,36.119,-114.1054
Arizona,36.1989,-114.0463
Arizona,36.3638,-114.045
Arizona,37.0001,-114.0508
California,41.9983,-124.4009
California,42.0024,-123.6237
California,42.0126,-123.1526
California,42.0075,-122.0073
California,41.9962,-121.2369
California,41.9983,-119.9982
California,39.0021,-120.0037
California,37.5555,-117.9575
California,36.3594,-116.3699
California,35.0075,-114.6368
California,34.9659,-114.6382
California,34.9107,-114.6286
California,34.8758,-114.6382
California,34.8454,-114.597
California,34.789,-114.5682
California,34.7269,-114.4968
California,34.6648,-114.4501
California,34.6581,-114.4597
California,34.5869,-114.4322
California,34.5235,-114.3787
California,34.4601,-114.3869
California,34.45,-114.3361
California,34.4375,-114.3031
California,34.4024,-114.2674
California,34.3559,-114.1864
California,34.3049,-114.1383
California,34.2561,-114.1315
California,34.2595,-114.1651
California,34.2044,-114.2249
California,34.1914,-114.2221
California,34.172,-114.2908
California,34.1368,-114.3237
California,34.1186,-114.3622
California,34.1118,-114.4089
California,34.0856,-114.4363
California,34.0276,-114.4336
California,34.0117,-114.4652
California,33.9582,-114.5119
California,33.9308,-114.5366
California,33.9058,-114.5091
California,33.8613,-114.5256
California,33.8248,-114.5215
California,33.7597,-114.505
California,33.7083,-114.494
California,33.6832,-114.5284
California,33.6363,-114.5242
California,33.5895,-114.5393
California,33.5528,-114.5242
California,33.5311,-114.5586
California,33.507,-114.5778
California,33.4418,-114.6245
California,33.4142,-114.6506
California,33.4039,-114.7055
California,33.3546,-114.6973
California,33.3041,-114.7302
California,33.2858,-114.7206
California,33.2754,-114.6808
California,33.2582,-114.6698
California,33.2467,-114.6904
California,33.172,-114.6794
California,33.0904,-114.7083
California,33.0858,-114.6918
California,33.0328,-114.6629
California,33.0501,-114.6451
California,33.0305,-114.6286
California,33.0282,-114.5888
California,33.0351,-114.575
California,33.0328,-114.5174
California,32.9718,-114.4913
California,32.9764,-114.4775
California,32.9372,-114.4844
California,32.8427,-114.4679
California,32.8161,-114.5091
California,32.785,-114.5311
California,32.7573,-114.5284
California,32.7503,-114.5641
California,32.7353,-114.6162
California,32.748,-114.6986
California,32.7191,-114.722
California,32.6868,-115.1944
California,32.5121,-117.3395
California,32.7838,-117.4823
California,33.0501,-117.5977
California,33.2341,-117.6814
California,33.4578,-118.0591
California,33.5403,-118.629
California,33.7928,-118.7073
California,33.9582,-119.3706
California,34.1925,-120.005
California,34.2561,-120.7164
California,34.536,-120.9128
California,34.9749,-120.8427
California,35.2131,-121.1325
California,35.5255,-121.322
California,35.9691,-121.8013
California,36.2808,-122.1446
California,36.7268,-122.1721
California,37.2227,-122.6871
California,37.7783,-122.8903
California,37.8965,-123.2378
California,38.3449,-123.3202
California,38.7423,-123.8338
California,38.9946,-123.9793
California,39.3088,-124.0329
California,39.7642,-124.0823
California,40.1663,-124.5314
California,40.4658,-124.6509
California,41.011,-124.3144
California,41.2386,-124.3419
California,41.717,-124.4545
California,41.9983,-124.4009
Colorado,37.0004,-109.0448
Colorado,36.9949,-102.0424
Colorado,41.0006,-102.0534
Colorado,40.9996,-109.0489
Colorado,37.0004,-109.0448
Connecticut,42.0498,-73.4875
Connecticut,42.0511,-73.4247
Connecticut,42.0371,-72.8146
Connecticut,41.9983,-72.8174
Connecticut,42.0044,-72.7638
Connecticut,42.036,-72.7563
Connecticut,42.0368,-72.6945
Connecticut,42.0309,-72.6086
Connecticut,42.0269,-72.6059
Connecticut,42.0269,-72.5784
Connecticut,42.035,-72.5729
Connecticut,42.035,-72.4026
